NumMol,RefSite_dif,LAT,LON
3008,1093,49.74361,8.11862
20000,1093,49.74361,8.11862
10,1094,49.74361,8.11862
24,1094,49.74361,8.11862
24,1094,49.74361,8.11862
24,1094,49.74361,8.11862
25,1094,49.74361,8.11862
26,1094,49.74361,8.11862
26,1094,49.74361,8.11862
26,1094,49.74361,8.11862
26,1094,49.74361,8.11862
26,1094,49.74361,8.11862
28,1094,49.74361,8.11862
28,1094,49.74361,8.11862
28,1094,49.74361,8.11862
28,1094,49.74361,8.11862
28,1094,49.74361,8.11862
28,1094,49.74361,8.11862
29,1094,49.74361,8.11862
34,1094,49.74361,8.11862
38,1094,49.74361,8.11862
38,1094,49.74361,8.11862
41,1094,49.74361,8.11862
41,1094,49.74361,8.11862
42,1094,49.74361,8.11862
43,1094,49.74361,8.11862
43,1094,49.74361,8.11862
43,1094,49.74361,8.11862
44,1094,49.74361,8.11862
44,1094,49.74361,8.11862
45,1094,49.74361,8.11862
48,1094,49.74361,8.11862
53,1094,49.74361,8.11862
53,1094,49.74361,8.11862
53,1094,49.74361,8.11862
53,1094,49.74361,8.11862
57,1094,49.74361,8.11862
57,1094,49.74361,8.11862
57,1094,49.74361,8.11862
58,1094,49.74361,8.11862
58,1094,49.74361,8.11862
58,1094,49.74361,8.11862
61,1094,49.74361,8.11862
61,1094,49.74361,8.11862
67,1094,49.74361,8.11862
67,1094,49.74361,8.11862
67,1094,49.74361,8.11862
68,1094,49.74361,8.11862
68,1094,49.74361,8.11862
68,1094,49.74361,8.11862
77,1094,49.74361,8.11862
81,1094,49.74361,8.11862
81,1094,49.74361,8.11862
82,1094,49.74361,8.11862
82,1094,49.74361,8.11862
83,1094,49.74361,8.11862
83,1094,49.74361,8.11862
85,1094,49.74361,8.11862
86,1094,49.74361,8.11862
93,1094,49.74361,8.11862
98,1094,49.74361,8.11862
104,1094,49.74361,8.11862
106,1094,49.74361,8.11862
113,1094,49.74361,8.11862
117,1094,49.74361,8.11862
117,1094,49.74361,8.11862
119,1094,49.74361,8.11862
120,1094,49.74361,8.11862
122,1094,49.74361,8.11862
122,1094,49.74361,8.11862
122,1094,49.74361,8.11862
131,1094,49.74361,8.11862
131,1094,49.74361,8.11862
131,1094,49.74361,8.11862
131,1094,49.74361,8.11862
148,1094,49.74361,8.11862
152,1094,49.74361,8.11862
154,1094,49.74361,8.11862
154,1094,49.74361,8.11862
154,1094,49.74361,8.11862
160,1094,49.74361,8.11862
160,1094,49.74361,8.11862
160,1094,49.74361,8.11862
161,1094,49.74361,8.11862
162,1094,49.74361,8.11862
163,1094,49.74361,8.11862
163,1094,49.74361,8.11862
163,1094,49.74361,8.11862
163,1094,49.74361,8.11862
163,1094,49.74361,8.11862
163,1094,49.74361,8.11862
163,1094,49.74361,8.11862
163,1094,49.74361,8.11862
172,1094,49.74361,8.11862
175,1094,49.74361,8.11862
175,1094,49.74361,8.11862
178,1094,49.74361,8.11862
178,1094,49.74361,8.11862
178,1094,49.74361,8.11862
179,1094,49.74361,8.11862
212,1094,49.74361,8.11862
212,1094,49.74361,8.11862
212,1094,49.74361,8.11862
212,1094,49.74361,8.11862
212,1094,49.74361,8.11862
212,1094,49.74361,8.11862
216,1094,49.74361,8.11862
216,1094,49.74361,8.11862
216,1094,49.74361,8.11862
217,1094,49.74361,8.11862
224,1094,49.74361,8.11862
224,1094,49.74361,8.11862
224,1094,49.74361,8.11862
224,1094,49.74361,8.11862
243,1094,49.74361,8.11862
243,1094,49.74361,8.11862
302,1094,49.74361,8.11862
319,1094,49.74361,8.11862
322,1094,49.74361,8.11862
325,1094,49.74361,8.11862
336,1094,49.74361,8.11862
351,1094,49.74361,8.11862
1019,1094,49.74361,8.11862
1041,1094,49.74361,8.11862
1142,1094,49.74361,8.11862
1142,1094,49.74361,8.11862
1177,1094,49.74361,8.11862
1177,1094,49.74361,8.11862
1177,1094,49.74361,8.11862
1178,1094,49.74361,8.11862
1194,1094,49.74361,8.11862
1224,1094,49.74361,8.11862
1605,1094,49.74361,8.11862
2015,1094,49.74361,8.11862
2015,1094,49.74361,8.11862
2017,1094,49.74361,8.11862
3010,1094,49.74361,8.11862
3015,1094,49.74361,8.11862
3015,1094,49.74361,8.11862
3037,1094,49.74361,8.11862
3046,1094,49.74361,8.11862
3051,1094,49.74361,8.11862
3117,1094,49.74361,8.11862
26,1095,49.74361,8.11862
195,1095,49.74361,8.11862
67,1096,49.73850,8.06283
44,1097,50.548723,5.317733
58,1097,50.548723,5.317733
67,1097,50.548723,5.317733
75,1097,50.548723,5.317733
77,1097,50.548723,5.317733
92,1097,50.548723,5.317733
176,1097,50.548723,5.317733
200,1097,50.548723,5.317733
261,1097,50.548723,5.317733
304,1097,50.548723,5.317733
1003,1097,50.548723,5.317733
1143,1097,50.548723,5.317733
1160,1097,50.548723,5.317733
1178,1097,50.548723,5.317733
1260,1097,50.548723,5.317733
1275,1097,50.548723,5.317733
30000,1097,50.548723,5.317733
30000,1097,50.548723,5.317733
30000,1097,50.548723,5.317733
30010,1097,50.548723,5.317733
62,1098,49.89490,2.29922
182,1098,49.89490,2.29922
38,1099,49.902635,2.243848
96,1100,49.896621,2.295781
110,1100,49.896621,2.295781
20003,1100,49.896621,2.295781
67,1101,49.893013,2.300077
80,1101,49.893013,2.300077
80,1101,49.893013,2.300077
127,1101,49.893013,2.300077
131,1101,49.893013,2.300077
138,1101,49.893013,2.300077
155,1101,49.893013,2.300077
158,1101,49.893013,2.300077
189,1101,49.893013,2.300077
189,1101,49.893013,2.300077
201,1101,49.893013,2.300077
201,1101,49.893013,2.300077
223,1101,49.893013,2.300077
247,1101,49.893013,2.300077
248,1101,49.893013,2.300077
252,1101,49.893013,2.300077
255,1101,49.893013,2.300077
257,1101,49.893013,2.300077
257,1101,49.893013,2.300077
258,1101,49.893013,2.300077
270,1101,49.893013,2.300077
299,1101,49.893013,2.300077
304,1101,49.893013,2.300077
304,1101,49.893013,2.300077
1103,1101,49.893013,2.300077
1134,1101,49.893013,2.300077
1195,1101,49.893013,2.300077
1230,1101,49.893013,2.300077
1292,1101,49.893013,2.300077
1305,1101,49.893013,2.300077
1405,1101,49.893013,2.300077
1470,1101,49.893013,2.300077
1495,1101,49.893013,2.300077
1497,1101,49.893013,2.300077
1608,1101,49.893013,2.300077
1614,1101,49.893013,2.300077
3105,1101,49.893013,2.300077
3137,1101,49.893013,2.300077
3140,1101,49.893013,2.300077
3164,1101,49.893013,2.300077
3173,1101,49.893013,2.300077
3179,1101,49.893013,2.300077
3255,1101,49.893013,2.300077
3277,1101,49.893013,2.300077
3277,1101,49.893013,2.300077
30000,1101,49.893013,2.300077
127,1102,49.877766,2.320416
252,1102,49.877766,2.320416
299,1102,49.877766,2.320416
299,1102,49.877766,2.320416
304,1102,49.877766,2.320416
20000,1102,49.877766,2.320416
20002,1102,49.877766,2.320416
30000,1102,49.877766,2.320416
66,1103,49.891003,2.295222
81,1103,49.891003,2.295222
322,1103,49.891003,2.295222
3022,1103,49.891003,2.295222
20000,1103,49.891003,2.295222
100,1104,49.893044,2.300502
163,1104,49.893044,2.300502
283,1104,49.893044,2.300502
308,1104,49.893044,2.300502
1045,1104,49.893044,2.300502
1292,1104,49.893044,2.300502
63,1105,49.892893,2.293987
270,1105,49.892893,2.293987
1198,1105,49.892893,2.293987
1228,1105,49.892893,2.293987
3046,1105,49.892893,2.293987
1297,1106,49.48333,3.91667
302,1107,47.9776,2.78922
331,1108,48.42907,1.39282
79,1109,48.44333,1.39349
1343,1109,48.44333,1.39349
20002,1109,48.44333,1.39349
36,1110,50.484284,4.986881
53,1110,50.484284,4.986881
63,1110,50.484284,4.986881
68,1110,50.484284,4.986881
